run,herd ID,herd type ID,herd type,species ID,herd size,farm ID,lat,long,LGA ID,region ID,mega-region ID,jurisdiction ID,risk category,biosecurity weight,unused,unused,day infected,infection pathway,source herd ID,source jurisdiction ID,day clinical,day diagnosed,reason diagnosed,day culled,reason culled,day vaccinated,day immune,last day infected,prevalence,seroprevalence,num sero+,lacto-prevalence
2,59222,6,dairy,1,198,59222,-36.1322,145.255,201,9,3,2,0.0,1.0,0,0,-1,,-1,-1,-1,-1,,-1,,40,47,-1,0.0000,0.0000,0,0.0000
2,58455,6,dairy,1,237,58455,-36.3047,144.921,165,9,3,2,0.0,1.0,0,0,-1,,-1,-1,-1,-1,,-1,,21,28,-1,0.0000,0.0000,0,0.0000
2,58713,6,dairy,1,189,58713,-36.2085,144.545,165,9,3,2,0.0,1.0,0,0,-1,,-1,-1,-1,-1,,-1,,21,28,-1,0.0000,0.0000,0,0.0000
2,20827,2,beef intensive,1,113,20827,-36.3746,144.897,165,9,3,2,0.0,1.0,0,0,-1,,-1,-1,-1,-1,,-1,,22,29,-1,0.0000,0.0000,0,0.0000
2,21595,2,beef intensive,1,108,21595,-36.0771,145.209,201,9,3,2,0.0,1.0,0,0,-1,,-1,-1,-1,-1,,-1,,44,51,-1,0.0000,0.0000,0,0.0000
2,58459,6,dairy,1,190,58459,-36.2923,144.909,165,9,3,2,0.0,1.0,0,0,-1,,-1,-1,-1,-1,,-1,,29,36,-1,0.0000,0.0000,0,0.0000
2,58460,6,dairy,1,583,58460,-36.2808,144.9,165,9,3,2,0.0,1.0,0,0,-1,,-1,-1,-1,-1,,-1,,29,36,-1,0.0000,0.0000,0,0.0000
2,20829,2,beef intensive,1,31,20829,-36.3323,144.96,165,9,3,2,0.0,1.0,0,0,-1,,-1,-1,-1,-1,,-1,,23,30,-1,0.0000,0.0000,0,0.0000
2,58471,6,dairy,1,365,58471,-36.3182,144.887,165,9,3,2,0.0,1.0,0,0,-1,,-1,-1,-1,-1,,-1,,21,28,-1,0.0000,0.0000,0,0.0000
2,58472,6,dairy,1,291,58472,-36.3815,144.911,165,9,3,2,0.0,1.0,0,0,-1,,-1,-1,-1,-1,,-1,,21,28,-1,0.0000,0.0000,0,0.0000
2,58480,6,dairy,1,441,58480,-36.3164,144.949,165,9,3,2,0.0,1.0,0,0,-1,,-1,-1,-1,-1,,-1,,23,30,-1,0.0000,0.0000,0,0.0000
2,21619,2,beef intensive,1,118,21619,-36.0787,145.236,201,9,3,2,0.0,1.0,0,0,-1,,-1,-1,-1,-1,,-1,,44,51,-1,0.0000,0.0000,0,0.0000
2,58483,6,dairy,1,295,58483,-36.2852,144.939,165,9,3,2,0.0,1.0,0,0,-1,,-1,-1,-1,-1,,-1,,29,36,-1,0.0000,0.0000,0,0.0000
2,58486,6,dairy,1,510,58486,-36.3284,144.915,165,9,3,2,0.0,1.0,0,0,6,local,64828,2,7,22,DCP,25,IP,21,-1,25,0.0000,0.0000,0,0.0000
2,20857,2,beef intensive,1,157,20857,-36.2876,144.93,165,9,3,2,0.0,1.0,0,0,31,local,58516,2,32,41,SP,44,IP,29,36,44,0.0000,0.0000,0,0.0000
2,20858,2,beef intensive,1,40,20858,-36.33,144.931,165,9,3,2,0.0,1.0,0,0,-1,,-1,-1,-1,-1,,-1,,22,29,-1,0.0000,0.0000,0,0.0000
2,58491,6,dairy,1,248,58491,-36.2794,144.919,165,9,3,2,0.0,1.0,0,0,-1,,-1,-1,-1,-1,,-1,,29,36,-1,0.0000,0.0000,0,0.0000
2,20861,2,beef intensive,1,30,20861,-36.33,144.952,165,9,3,2,0.0,1.0,0,0,-1,,-1,-1,-1,-1,,-1,,23,30,-1,0.0000,0.0000,0,0.0000
2,58494,6,dairy,1,383,58494,-36.3246,144.903,165,9,3,2,0.0,1.0,0,0,13,local,58486,2,14,20,SP,23,IP,-1,-1,23,0.0000,0.0000,0,0.0000
2,20865,2,beef intensive,1,40,20865,-36.3478,144.895,165,9,3,2,0.0,1.0,0,0,-1,,-1,-1,-1,-1,,-1,,22,29,-1,0.0000,0.0000,0,0.0000
2,21637,2,beef intensive,1,61,21637,-36.1087,145.216,201,9,3,2,0.0,1.0,0,0,26,direct,58448,2,28,35,SP,38,IP,-1,-1,38,0.0000,0.0000,0,0.0000
2,58510,6,dairy,1,209,58510,-36.2775,144.907,165,9,3,2,0.0,1.0,0,0,-1,,-1,-1,-1,-1,,-1,,29,36,-1,0.0000,0.0000,0,0.0000
2,58512,6,dairy,1,663,58512,-36.3016,144.878,165,9,3,2,0.0,1.0,0,0,-1,,-1,-1,-1,-1,,-1,,29,36,-1,0.0000,0.0000,0,0.0000
2,58516,6,dairy,1,532,58516,-36.292,144.908,165,9,3,2,0.0,1.0,0,0,24,local,20775,2,25,28,SP,31,IP,-1,-1,31,0.0000,0.0000,0,0.0000
2,21659,2,beef intensive,1,71,21659,-36.1166,145.245,201,9,3,2,0.0,1.0,0,0,-1,,-1,-1,-1,-1,,-1,,36,43,-1,0.0000,0.0000,0,0.0000
2,58526,6,dairy,1,232,58526,-36.2766,144.929,165,9,3,2,0.0,1.0,0,0,-1,,-1,-1,-1,-1,,-1,,29,36,-1,0.0000,0.0000,0,0.0000
2,81825,9,sheep,2,1133,81825,-36.1198,145.233,201,9,3,2,0.0,1.0,0,0,33,local,21637,2,36,39,ARP,41,IP,-1,-1,41,0.0000,0.0000,0,0.0000
2,58532,6,dairy,1,346,58532,-36.3703,144.86,165,9,3,2,0.0,1.0,0,0,-1,,-1,-1,-1,-1,,-1,,21,28,-1,0.0000,0.0000,0,0.0000
2,58537,6,dairy,1,336,58537,-36.2879,144.876,165,9,3,2,0.0,1.0,0,0,-1,,-1,-1,-1,-1,,-1,,29,36,-1,0.0000,0.0000,0,0.0000
2,20907,2,beef intensive,1,122,20907,-36.2232,144.524,165,9,3,2,0.0,1.0,0,0,8,direct,58486,2,10,20,SP,23,IP,-1,-1,23,0.0000,0.0000,0,0.0000
2,59316,6,dairy,1,255,59316,-36.0802,145.198,201,9,3,2,0.0,1.0,0,0,-1,,-1,-1,-1,-1,,-1,,44,51,-1,0.0000,0.0000,0,0.0000
2,21434,2,beef intensive,1,63,21434,-36.1251,145.236,201,9,3,2,0.0,1.0,0,0,-1,,-1,-1,-1,-1,,-1,,36,43,-1,0.0000,0.0000,0,0.0000
2,59330,6,dairy,1,160,59330,-36.0848,145.197,201,9,3,2,0.0,1.0,0,0,-1,,-1,-1,-1,-1,,-1,,44,51,-1,0.0000,0.0000,0,0.0000
2,127685,10,smallholder,4,5,127685,-36.3398,144.936,165,9,3,2,0.0,1.0,0,0,19,local,116231,2,23,22,ARP,24,IP,-1,-1,24,0.0000,0.0000,0,0.0000
2,214471,5,mixed sheep,2,326,202232,-36.2335,144.494,165,9,3,2,0.0,1.0,0,0,-1,,-1,-1,-1,-1,,-1,,22,30,-1,0.0000,0.0000,0,0.0000
2,214470,4,mixed beef,1,155,202232,-36.2335,144.494,165,9,3,2,0.0,1.0,0,0,-1,,-1,-1,-1,-1,,-1,,22,30,-1,0.0000,0.0000,0,0.0000
2,21454,2,beef intensive,1,120,21454,-36.0942,145.213,201,9,3,2,0.0,1.0,0,0,32,local,21637,2,33,39,SP,42,IP,36,43,42,0.0000,0.0000,0,0.0000
2,58576,6,dairy,1,314,58576,-36.2052,144.534,165,9,3,2,0.0,1.0,0,0,-1,,-1,-1,-1,-1,,-1,,21,28,-1,0.0000,0.0000,0,0.0000
2,20689,2,beef intensive,1,96,20689,-36.3558,144.867,165,9,3,2,0.0,1.0,0,0,-1,,-1,-1,-1,-1,,-1,,22,29,-1,0.0000,0.0000,0,0.0000
2,59350,6,dairy,1,353,59350,-36.1271,145.256,201,9,3,2,0.0,1.0,0,0,-1,,-1,-1,-1,-1,,-1,,40,47,-1,0.0000,0.0000,0,0.0000
2,20696,2,beef intensive,1,85,20696,-36.2803,144.927,165,9,3,2,0.0,1.0,0,0,-1,,-1,-1,-1,-1,,-1,,29,36,-1,0.0000,0.0000,0,0.0000
2,58330,6,dairy,1,268,58330,-36.3692,144.887,165,9,3,2,0.0,1.0,0,0,16,local,58357,2,17,18,ARP,21,IP,-1,-1,21,0.0000,0.0000,0,0.0000
2,20956,2,beef intensive,1,113,20956,-36.1952,144.528,165,9,3,2,0.0,1.0,0,0,-1,,-1,-1,-1,-1,,-1,,26,33,-1,0.0000,0.0000,0,0.0000
2,59363,6,dairy,1,309,59363,-36.0979,145.249,201,9,3,2,0.0,1.0,0,0,-1,,-1,-1,-1,-1,,-1,,40,47,-1,0.0000,0.0000,0,0.0000
2,58343,6,dairy,1,158,58343,-36.2911,144.888,165,9,3,2,0.0,1.0,0,0,-1,,-1,-1,-1,-1,,-1,,29,36,-1,0.0000,0.0000,0,0.0000
2,21485,2,beef intensive,1,32,21485,-36.0809,145.213,201,9,3,2,0.0,1.0,0,0,40,local,21454,2,41,43,ARP,46,IP,-1,-1,46,0.0000,0.0000,0,0.0000
2,58352,6,dairy,1,298,58352,-36.3725,144.889,165,9,3,2,0.0,1.0,0,0,-1,,-1,-1,-1,-1,,-1,,21,28,-1,0.0000,0.0000,0,0.0000
2,20977,2,beef intensive,1,45,20977,-36.2149,144.547,165,9,3,2,0.0,1.0,0,0,-1,,-1,-1,-1,-1,,-1,,22,29,-1,0.0000,0.0000,0,0.0000
2,20724,2,beef intensive,1,100,20724,-36.2817,144.901,165,9,3,2,0.0,1.0,0,0,-1,,-1,-1,-1,-1,,-1,,29,36,-1,0.0000,0.0000,0,0.0000
2,58357,6,dairy,1,357,58357,-36.362,144.901,165,9,3,2,0.0,1.0,0,0,6,local,64828,2,8,14,first detection,17,IP,-1,-1,17,0.0000,0.0000,0,0.0000
2,20726,2,beef intensive,1,52,20726,-36.3033,144.9,165,9,3,2,0.0,1.0,0,0,26,local,20743,2,27,34,SP,37,IP,22,29,37,0.0000,0.0000,0,0.0000
2,58359,6,dairy,1,212,58359,-36.3005,144.923,165,9,3,2,0.0,1.0,0,0,-1,,-1,-1,-1,-1,,-1,,24,31,-1,0.0000,0.0000,0,0.0000
